,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
50,Invention No.13,Invention No.13,اختراع No.13,二部创意No.13,二部創意No.13,Uitvinding nr. 13,Invention No.13,Keksintö nro 13,Invention n ° 13,Invention Nr.13,आविष्कार संख्या १३,Penemuan No.13,Invenzione n. 13,Invention No. 13,インベンション 第13番,Penciptaan No.13,Oppfinnelse nr.13,Wynalazek nr 13,Invenção No.13,Invenção No.13,Изобретение №13,Invención No.13,Uppfinning nr 13,สิ่งประดิษฐ์หมายเลข 13,Buluş No.13,İcat No.13,Phát minh số 13
51,Sonatina Op.36-3,Sonatina Op.36-3,السوناتينا No.3 Op.36,小奏鸣曲Op.36-3,小奏鳴曲Op.36-3,Sonatina Op.36-3,Sonatina Op.36-3,Sonatina Op.36-3,Sonatina OP.36-3,Sonatina Op.36 Nr.3,सोनटिना ओप .36-3,Sonatina Op.36-3,Sonatina Op.36-3,Sonatina Op. 36-3,ソナチネ Op.36-3,Sonatina Op.36-3,Sonatina Op.36-3,Sonatina op.36-3,Sonatina Op.36-3,Sonatina Op.36-3,Сонатина Op.36 №3,Sonatina Op.36-3,Sonatina Op.36-3,Sonatina op.36-3,Sonatina Op.36-3,Sonatina Op.36-3,Sonatina Op.36-3
52,William Tell Overture,William Tell Overture,افتتاحية ويليام تيل,威廉·退尔序曲,威廉·退爾序曲,William Tell Overture,William Tell Overture,William Tell Overture,William Tell Overture,William Tell Overture,विलियम ने ओवरचर को बताया,William Tell Overture,William Tell Overture,William Tell Overture,ウィリアム・テル  序曲,William Tell Overture,William Tell Overture,William Tell Uverture,William Tell Overture,William Tell Overture,Вильгельм Телль,William Tell Obertura,William Tell Overture,William Tell Overture,William Tell Uvertür,William Tell Açılışı,William nói với Overture
53,Bridal Chorus,Bridal Chorus,بريدل كورس,婚礼合唱,婚禮合唱,Bruidskoor,Bridal Chorus,Morsiamenkuoro,Chœur de mariée,Bridal Chorus,ब्राइडल कोरस,Paduan Suara Pengantin,Coro nuziale,Bridal Chorus,結婚行進曲,Chorus Pengantin,Brudekor,Chór ślubny,Coro de noivas,Coro de noivas,Свадебный хор,Coro nupcial,Brudkor,นักร้องประสานเสียงเจ้าสาว,Gelin korosu,Düğün Korosu,Điệp khúc cô dâu
54,Humoresque No.7,Humoresque No.7,خيومورسك No.7,幽默曲No.7,幽默曲No.7,Humoresque nr. 7,Humoresque No.7,HUMORESQUE NO.7,Humoresque n ° 7,Humoresque Nr.7,ह्यूमोरेस्क नंबर 7,Humoresque No.7,Humoresque No.7,유모레스크 7번,ユモレスク 第7番,Humoresque No.7,Humoresque nr.7,Humoresque nr 7,Humoresco No.7,Humoresco No.7,Юмореска №7,Humoresque No.7,Humoresque No.7,Humoresque No.7,Humoresque No.7,Humoresque No.7,Hài hước số 7
55,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,سوناتا ضوء القمر Mvt.3,月光奏鸣曲 第三章,月光奏鳴曲 第三章,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata 3. Satz,चांदनी सोनाटा MVT.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt. 3,月光 第3楽章,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Luar Sonata Mvt.3,Luar Sonata Mvt.3,Лунная соната 3 часть,Luna sonata MVT.3,Moonlight Sonata MVT.3,Moonlight Sonata Mvt.3,Ay Işığı Sonatı Bölüm 3,Ay Işığı Sonatı Bölüm 3,Moonlight Sonata MVT.3
56,Minuet in G,Minuet in G,المينيويت في سلم صول الكبير,G大调小步舞曲,G大調小步舞曲,Minuet in g,Minuet in G,Minuet g: ssä,Mouluet en g,Menuett in G,जी में मिनुइट,Minuet di g,Minuet in g,미뉴엣 단조,メヌエット ト長調,Minuet dalam g,Minuet i g,Minuet w g,Minuet em g,Minuet em g,Менуэт в G,Minueto en G,Minuet i g,minuet ใน g,G IN G MINUET,G minör Minüet,Minuet trong g
57,Xinjiang Suite,Xinjiang Suite,جناح شينجيانغ,新疆组曲,新疆組曲,Xinjiang suite,Xinjiang Suite,Xinjiang -sviitti,Suite du Xinjiang,Xinjiang Suite,शिनजियांग सुइट,Suite Xinjiang,Xinjiang Suite,신강 모음곡,新疆組曲,Xinjiang Suite,Xinjiang Suite,Suite Xinjiang,Suíte Xinjiang,Suíte Xinjiang,Синьцзян-Люкс,Suite Xinjiang,Xinjiang -svit,Xinjiang Suite,Xinjiang Süiti,Xinjiang Süiti,Suite Tân Cương
58,Fantaisie - Impromptu,Fantaisie - Impromptu,فنتاسي امبرومبتيو,幻想即兴曲,幻想即興曲,Fantaisie - geïmproviseerd,Fantaisie - Impromptu,Fantaisie - eksprompti,Fantaisie - Impromptu,Fantaisie-Impromptu,Fantaisie - impromptu,Fantaisie - dadakan,Fantaisie - Impromptu,환상 즉흥곡,幻想即興曲,Fantaisie - Impromptu,Fantaisie - Impromptu,Fantaisie - Impromptu,Fantaisie - Impromptu,Fantaisie - Impromptu,Экспромт - фантазия,Fantaisie - improvisado,Fantaisie - improviserad,Fantaisie - ทันควัน,Fantaisie - doğaçlama,Fantazi – İmpromptu,Fantaisie - ngẫu hứng
59,Harmonious Blacksmith,Harmonious Blacksmith,حداد متناغم,快乐的铁匠,快樂的鐵匠,Harmonieuze smid,Harmonious Blacksmith,Harmoninen seppä,Forgeron harmonieux,Harmonious Blacksmith,सामंजस्यपूर्ण लोहार,Pandai besi yang harmonis,Fabbro armonioso,즐거운 대장간,調子のよい鍛冶屋,Blacksmith harmoni,Harmonisk smed,Harmoniczny kowal,Ferreiro harmonioso,Ferreiro harmonioso,Гармонический кузнец,Herrero armonioso,Harmonisk smed,ช่างตีเหล็กที่กลมกลืนกัน,Uyumlu demirci,Ahengi Demirci,Thợ rèn hài hòa
60,Liebestraum No.3,Liebestraum No.3,ليبستروم No.3,爱之梦,愛之夢,Liebestraum nr. 3,Liebestraum No.3,Liebestraum nro 3,Liebestraum n ° 3,Liebestraum Nr.3,लिबस्ट्रम नंबर 3,Liebestraum No.3,Liebestraum n. 3,달콤한 변주곡,愛の夢 第3番,Liebestraum No.3,Liebestraum No.3,Liebestraum nr 3,LieBestraum No.3,LieBestraum No.3,Грезы Любви,Liebestraum No.3,Liebestraum nr 3,Liebestraum No.3,Aşk Rüyası No.3,Aşk Rüyası No.3,Liebestraum số 3
61,Appassionata Mvt.3,Appassionata Mvt.3,أباشوناتا Mvt.3,热情奏鸣曲 第三章,熱情奏鳴曲 第三章,Appassionata mvt.3,Appassionata Mvt.3,Appassionata mvt.3,Appassionata MVT.3,Appassionata 3. Satz,Appassionata MVT.3,Appassionata MVT.3,Appassionata Mvt.3,열정,ピアノソナタ 熱情 第3楽章,Appassionata Mvt.3,Appassionata Mvt.3,Appassionata Mvt.3,Appassionata mvt.3,Appassionata mvt.3,Апассионата 3 часть,Appassionata MVT.3,Appassionata MVT.3,Appassionata Mvt.3,Appasionata Mvt.3,Appassionata Bölüm 3,Appassionata mvt.3
62,Four Seasons - Spring,Four Seasons - Spring,الفصول الأربعة - الربيع,四季 - 春,四季 - 春,Vier seizoenen - lente,Four Seasons - Spring,Neljä vuodenaikaa - kevät,Four saisons - printemps,Vier Jahreszeiten - Frühling,चार मौसम - वसंत,Four Seasons - Musim Semi,Quattro stagioni - primavera,사계 - 봄,四季 - 春,Empat Musim - Musim Bunga,Fire sesonger - vår,Four Seasons - Spring,Four Seasons - Primavera,Four Seasons - Primavera,Четыре Сезона - Весна,Four Seasons - Primavera,Fyra säsonger - våren,สี่ฤดูกาล - ฤดูใบไม้ผลิ,Four Seasons - Bahar,Dört Mevsim – İlkbahar,Bốn mùa - Mùa xuân
63,La Campanella,La Campanella,لا كامبانيلا,钟,鐘,La Campanella,La Campanella,La Campanella,La Campanella,La Campanella,ला कैम्पेनेला,La Campanella,La Campanella,라 캄파넬라,ラ・カンパネラ,La Campanella,La Campanella,La Campanella,La Campanella,La Campanella,Колокольчик,La Campanella,LA Campanella,La Campanella,Minik Çan,Minik Çan,La Campanella
64,Solfeggietto,Solfeggietto,سولفجيطو,视唱曲,視唱曲,Solfegegietto,Solfeggietto,Solfeggietto,Solfeggietto,Solfeggietto,सोलफेगिटो,Solfeggietto,Solfeggietto,솔페지에토,ソルフェジエット,Solfeggietto,Solfeggietto,Solfeggietto,Solfeggietto,Solfeggietto,Сольфеджио,Solfeggietto,Solfeggietto,Solfeggietto,Solfeggietto,Solfeggietto,Solfeggietto
65,A La Claire Fontaine,A La Claire Fontaine,ا لا كلير فونتين,在清澈的泉水边,在清澈的泉水邊,A La Claire Fontaine,A La Claire Fontaine,A la Claire Fontaine,À la Claire Fontaine,A La Claire Fontaine,एक ला क्लेयर फोंटेन,A la claire fontaine,A La Claire Fontaine,맑은 샘에서,泉のほとり,La Claire Fontaine,A la Claire Fontaine,A La Claire Fontaine,A la Claire Fontaine,A la Claire Fontaine,У ясного фонтана,A la Claire Fontaine,A la Claire fontaine,La Claire Fontaine,La Claire Fontaine,A La Claire Fontaine,A la claire fontaine
66,Simple Gifts,Simple Gifts,هدايا بسيطة,简单的礼物,簡單的禮物,Eenvoudige geschenken,Simple Gifts,Yksinkertaiset lahjat,Cadeaux simples,Simple Gifts,सरल उपहार,Hadiah sederhana,Regali semplici,단순한 선물,シンプル・ギフト,Hadiah mudah,Enkle gaver,Proste prezenty,Presentes simples,Presentes simples,Простые Подарки,Regalos simples,Enkla gåvor,ของขวัญง่ายๆ,Basit Hediyeler,Basit Hediyeler,Quà tặng đơn giản
67,Hungarian Rhapsody No.6,Hungarian Rhapsody No.6,الرابسودي الهنغاري No.6,匈牙利狂想曲No.6,匈牙利狂想曲No.6,Hongaarse Rhapsody No.6,Hungarian Rhapsody No.6,Unkarin rhapsody nro 6,Rhapsodie hongroise n ° 6,Ungarische Rhapsodie Nr.6,हंगेरियन रैप्सोडी नंबर 6,Hongaria Rhapsody No.6,Rhapsody ungherese n. 6,헝가리 랩소디 6번,ハンガリー狂詩曲 第6番,Hungary Rhapsody No.6,Ungarsk Rhapsody No.6,Węgierski Rhapsody nr 6,Rhapsody húngaro No.6,Rhapsody húngaro No.6,Венгерская Рапсодия №6,Rapsodia húngara No.6,Ungerska rhapsody nr.6,ฮังการี Rhapsody No.6,Macar Rhapsody No.6,Macar Rapsodisi No.6,Hungary Rhapsody số 6
68,Sonata Pathetique Mvt.1,Sonata Pathetique Mvt.1,سوناتا بتتيك Mvt.1,悲怆奏鸣曲 第一章,悲愴奏鳴曲 第一章,Sonata Pathetique Mvt.1,Sonata Pathetique Mvt.1,Sonata Pathetique MVT.1,Sonata Pathetique Mvt.1,Sonata Pathetique 1. Satz,सोनाटा पाथेटिक MVT.1,Sonata Pathetique Mvt.1,Sonata Pathetique Mvt.1,비창 소나타 1악장,ソナタ 悲愴 第1楽章,Sonata Pathetique Mvt.1,Sonata Pathetique MVT.1,Sonata Patetique Mvt.1,Sonata Pathetique Mvt.1,Sonata Pathetique Mvt.1,Патетическая соната 1 часть,Sonata Pathetique MVT.1,Sonata Pathetique MVT.1,Sonata Postetique Mvt.1,Patetik Sonat Bölüm 1,Patetik Sonat Bölüm 1,Sonata Pathetique MVT.1
69,Waltz in E minor,Waltz in E minor,فالس في سلم مي الصغير,e小调圆舞曲,e小調圓舞曲,Wals in e mineur,Waltz in E minor,Valssi E -Minorissa,Valse en e mineur,Waltz in E-Moll,ई माइनर में वाल्ट्ज,Waltz di E minor,Waltz in e minore,왈츠 마단조,ワルツ ホ短調,Waltz di E minor,Waltz i E -mindreårig,Waltz w e -moll,Valsa em e menor,Valsa em e menor,Вальс Ми минор,Vals en e menor,WALTZ i E -moll,วอลทซ์ใน E Minor,E küçük vals,E minör Valsi,Waltz trong E Minor
70,Clarinet Polka,Clarinet Polka,كلارينيت البولكا,单簧管波尔卡,單簧管波爾卡,Klarinet polka,Clarinet Polka,Klarinetti,Pornette,Klarinetten Polka,शहरीत पोल्का,Klarinet Polka,Clarinetto Polka,클라리넷 폴카,クラリネット・ポルカ,Clarinet Polka,Klarinett polka,Klarnetowa polka,Polca de clarinete,Polca de clarinete,Кларнет Полька,Polka de clarinete,Klarinett polka,คลาริเน็ตโปลก้า,Klarnet polka,Klarnet Polkası,Polka clarinet
71,Lyric Waltz,Lyric Waltz,الفالس للموسيقى الكلاسيكية,抒情圆舞曲,抒情圓舞曲,Lyric Waltz,Lyric Waltz,Lyyrinen valssi,Valse lyrique,Lyric Waltz,लिरिक वाल्ट्ज,Lyric Waltz,Lyric Waltz,서정적인 왈츠,リリック・ワルツ,Lyric Waltz,Lyric Waltz,Lyric Waltz,Lyric Waltz,Lyric Waltz,Лирический Вальс,Vals lírico,Lyrisk vals,เพลงวอลทซ์,Lirik vals,Lirik Vals,Lyric Waltz
72,Sonatina Op.88 No.3,Sonatina Op.88 No.3,السوناتينا No.3 Op.88,小奏鸣曲Op.88-3,小奏鳴曲Op.88-3,Sonatina Op.88 Nr. 3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Sonatina OP.88 n ° 3,Sonatina Op.88 Nr.3,सोनटिना Op.88 No.3,Sonatina Op.88 No.3,Sonatina op.88 n. 3,Sonatina Op. 88 No. 3,ソナチネ Op.88-3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Sonatina op.88 nr 3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Сонатина Op.88 №3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Sonatina OP88 số 3
73,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129,روندو اى كبركسو Op.129,回旋随想曲Op.129,迴旋隨想曲Op.129,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129,Rondo a capriccio op.129,Rondo a capriccio Op.129,रोंडो एक मकरपियो op.129,Rondo A Capriccio Op.129,RONDO A CAPRICIO OP.129,Rondo A Capriccio Op. 129,ロンド・ア・カプリッチョ Op.129,Rondo A Capriccio Op.129,Rondo a capriccio op.129,Rondo A Capriccio op.129,Rondo a Capriccio op.129,Rondo a Capriccio op.129,Рондо-каприччио Op.129,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129,rondo a capriccio op.129,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129
74,The Skater's Waltz,The Skater's Waltz,ذي سكترس والتز,溜冰圆舞曲,溜冰圓舞曲,De wals van de skater,The Skater's Waltz,Luistelijan valssi,La valse du patineur,The Skater's Waltz,स्केटर का वाल्ट्ज,Waltz skater,Il valzer del pattinatore,스케이트 왈츠,スケーターズ・ワルツ,Waltz Skater,Skaterens vals,Waltz łyżwiarza,A valsa do skatista,A valsa do skatista,Вальс фигуристов,El vals del patinador,Skaterens vals,วอลทซ์ของนักสเก็ต,Patenci Vals,Buz Patencisinin Valsi,Waltz của Skater
75,Breeze,Breeze,بريز,清风,清風,Bries,Breeze,Tuulta,Brise,Breeze,हवा,Angin semilir,Brezza,산들 바람,ブリーズ,Angin,Bris,Bryza,Brisa,Brisa,Бриз,Brisa,Bris,สายลม,Esinti,Esinti,Gió
76,Etude de Virtuosite in E,Etude de Virtuosite in E,قطعة موسيقية في سلم مي الكبير,E大调练习曲,E大調練習曲,Etude de virtuosite in E,Etude de Virtuosite in E,Etude de virtuite in e,Etude de virtuosite dans e,Etude de Virtuosite in E,ई में etude de virtuosite,Etude de virtuosit di e,Etude de virtuosite in e,Etude de Virtuosite in E,15の練習曲 ホ長調,Etude de virtuosite dalam e,Etude de virtuosite i e,Etude de Virtuoste w E.,Etude de virtuosidade em e,Etude de virtuosidade em e,Этюд на виртуозность ми мажор,Etude de Virtuosite en E,Etude de virtuosit i E,Etude de Virtuosite ใน E,E'de ETUDE DE Virtuosite,E Majör'de Virtüözite Etüdü,Etude de Virtuosite trong E
77,Sweet Bye and Bye,Sweet Bye and Bye,سويت باي اند باي,甜蜜变奏曲,甜蜜變奏曲,Zoete doei en doei,Sweet Bye and Bye,Makea hei ja hei,Sweet Bye and Bye,Sweet Bye and Bye,मीठा अलविदा और अलविदा,Selamat tinggal dan selamat tinggal,Dolce ciao e ciao,달콤한 인사,スイート・バイ・アンド・バイ,Selamat tinggal dan selamat tinggal,Søt farvel og farvel,Słodkie do widzenia i do widzenia,Sweet Bye e tchau,Sweet Bye e tchau,Сладкие свидания,Sweet Bye y Bye,Söt bye och bye,ลาก่อนและลาก่อน,Tatlı güle güle ve güle güle,Tatlı Elveda,Tạm biệt và tạm biệt
78,Allemande,Allemande,المند,阿勒曼德舞曲,阿勒曼德舞曲,Allemande,Allemande,Allemande,Allemande,Allemande,एलेमैंड,Allemande,AlleMande,알망스,アルマンド,Allemande,Allemande,Allemande,Allemande,Allemande,Аллеманда,Alemande,Allemand,Allemande,Alemande,Allemande,Allemande
79,Goldberg Variations,Goldberg Variations,تنويعات غولدبرغ,哥德堡变奏曲,哥德堡變奏曲,Goldberg -variaties,Goldberg Variations,Goldberg -muunnelmat,Variations Goldberg,Goldberg Variationen,गोल्डबर्ग विविधताएँ,Variasi Goldberg,Variazioni Goldberg,Goldberg Variations,ゴルトベルク変奏曲,Variasi Goldberg,Goldberg -variasjoner,Odmiany Goldberga,Variações de Goldberg,Variações de Goldberg,Гольдберг Вариации,Variaciones de Goldberg,Goldberg variationer,รูปแบบโกลด์เบิร์ก,Goldberg Varyasyonları,Goldberg Varyasyonları,Biến thể Goldberg
80,Tzigane Dance,Tzigane Dance,رقص غجري,茨冈舞曲,茨岡舞曲,Tzigane Dance,Tzigane Dance,Tzigaanitanssi,Danse tzigane,Tzigane Dance,Tzigane नृत्य,Tarian tzigane,Danza tzigane,Tzigane Dance,ツィガーヌ・ダンス,Tarian tzigane,Tzigane Dance,Tzigane taniec,Tzigane Dance,Tzigane Dance,Цыганка Танец,Tzigane Dance,Tzigandans,Tzigane Dance,Tzigane dansı,Çingene Dansı,Khiêu vũ Tzigane
81,Sonata in F Major Mvt.3,Sonata in F Major Mvt.3,سوناتا في سلم فا الكبير Mvt.3,F大调奏鸣曲 第三章,F大調奏鳴曲 第三章,Sonata in F Major Mvt.3,Sonata in F Major Mvt.3,Sonaatti F -major MVT.3: ssa,Sonata en f majeure mvt.3,Sonata in F-Dur 3. Satz,एफ प्रमुख MVT.3 में सोनाटा,Sonata di f mayor mvt.3,Sonata in F Major Mvt.3,소나타 바장조 3악장,ピアノソナタ ヘ長調 第3楽章,Sonata di f utama mvt.3,Sonata i f major mvt.3,Sonata w f -dur mvt.3,Sonata em f maior mvt.3,Sonata em f maior mvt.3,Соната фа мажор 3 часть,Sonata en f Major MVT.3,Sonata i F Major Mvt.3,Sonata ใน F Major MVT.3,F Major Mvt.3'te Sonata,F Majör Sonatı Bölüm 3,Sonata trong F Major MVT.3
82,Etude Op.10 No.8,Etude Op.10 No.8,القطعة الموسيقية No.8 Op.25,练习曲Op.10 No.8,練習曲Op.10 No.8,ETUDE OP.10 Nr. 8,Etude Op.10 No.8,Etude Op.10 No.8,Etude Op.10 n ° 8,Etude Op.10 Nr.8,Etude op.10 No.8,Etude Op.10 No.8,Etude op.10 n. 8,Etude Op. 10 No. 8,練習曲 Op.10-8,Etude Op.10 No.8,Etude op.10 nr.8,Etude op.10 nr 8,Etude Op.10 No.8,Etude Op.10 No.8,Этюд Op.10 №8,Etude Op.10 No.8,Etude Op.10 No.8,Etude op.10 No.8,Erude Op.10 No.8,Etüd Op.10 No.8,Etude Op.10 Số 8
83,Sonata in E minor Mvt.1,Sonata in E minor Mvt.1,سوناتا في سلم مي الصغير Mvt.1,e小调奏鸣曲 第一章,e小調奏鳴曲 第一章,Sonata in E Minor Mvt.1,Sonata in E minor Mvt.1,Sonaatti E -MVT.1: ssä,Sonate en e mineur MVT.1,Sonata in E moll 1.Satz,सोनाटा ई माइनर MVT.1 में,Sonata in e Minor Mvt.1,Sonata in e minore mvt.1,Sonata in E minor Mvt. 1,ピアノソナタ ホ長調 第1楽章,Sonata di E Minor Mvt.1,Sonata i E -mindre MVT.1,Sonata w e -moll mvt.1,Sonata em e menor mvt.1,Sonata em e menor mvt.1,Соната ми минор 1 часть,Sonata en E Minor MVT.1,Sonata i E Minor Mvt.1,Sonata ใน E Minor Mvt.1,E Minor Mvt.1'de Sonata,E minör Sonatı Bölüm 1,Sonata trong e nhỏ mvt.1
